"","","","Batting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pitching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fielding","","","","","","","","","","","","","","","","","","","","","","","","",""
"Number","Last","First","GP","PA","AB","AVG","OBP","OPS","SLG","H","1B","2B","3B","HR","RBI","R","BB","SO","K-L","HBP","SAC","SF","ROE","FC","SB","SB%","CS","PIK","QAB","QAB%","PA/BB","BB/K","C%","HHB","LD%","FB%","GB%","BABIP","BA/RISP","LOB","2OUTRBI","XBH","TB","PS","PS/PA","2S+3","2S+3%","6+","6+%","AB/HR","GIDP","GITP","CI","IP","GP","GS","BF","#P","W","L","SV","SVO","BS","SV%","H","R","ER","BB","SO","K-L","HBP","ERA","WHIP","LOB","BK","PIK","CS","SB","SB%","WP","BAA","MPHFB","MPHCT","MPHCB","MPHSL","MPHCH","MPHOS","P/IP","P/BF","<3%","LOO","1ST2OUT","123INN","<13","FIP","S%","FPS%","FPSO%","FPSW%","FPSH%","BB/INN","0BBINN","BBS","LOBB","LOBBS","SM%","K/BF","K/BB","WEAK%","HHB%","GO/AO","HR","LD%","FB%","GB%","BABIP","BA/RISP","FB","FBS","FBS%","FBSW%","FBSM%","CT","CTS","CTS%","CTSW%","CTSM%","CB","CBS","CBS%","CBSW%","CBSM%","SL","SLS","SLS%","SLSW%","SLSM%","CH","CHS","CHS%","CHSW%","CHSM%","OS","OSS","OSS%","OSSW%","OSSM%","TC","A","PO","FPCT","E","DP","TP","INN","PB","SB","SB-ATT","CS","CS%","PIK","CI","P","C","1B","2B","3B","SS","LF","CF","RF","SF","Total"
"1","Schaefer","Tristan","25","76","60",".300",".425",".758",".333","18","17","0","1","0","12","15","12","17","9","1","3","0","2","3","14","93.33","1","2","37","48.68","6.3",".706","71.67","13","17.39","15.22","58.70",".419",".227","36","4","1","20","285","3.750","6","7.89","10","13.16","-","1","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","40","0","39",".975","1","0","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","136.2","0.0","0.0","137.1"
"2","McCutcheon","Cooper","25","84","54",".296",".548",".937",".389","16","13","1","2","0","5","17","16","6","4","14","0","0","2","1","15","65.22","8","0","40","47.62","5.3","2.667","88.89","15","22.92","25.00","39.58",".333",".500","15","2","3","21","312","3.714","11","13.10","18","21.43","-","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","22","0","21",".955","1","0","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","0.0","0.0","0.0","0.0","123.1","20.2","0.0","0.0","144.0"
"3","Grande","Justin","18","42","38",".211",".231",".441",".211","8","8","0","0","0","3","8","0","2","1","1","3","0","1","1","4","100.0","0","1","18","42.86","-",".000","94.74","11","18.42","23.68","47.37",".222",".111","36","0","0","8","122","2.905","6","14.29","2","4.76","-","2","0","0","16.2","10","0","73","244","1","0","0","0","0","-","14","6","4","4","9","4","5","1.680","1.080","23","0","1","0","6","100.0","2",".222","N/A","N/A","N/A","N/A","N/A","N/A","14.6","3.342","54.79","9","5","3","6","3.465","63.52","60.27","72.73","4.55","15.91",".240","12","0","0","0","8.20",".123","2.250","67.27","32.73","1.000","0","30.91","16.36","51.85",".255",".148","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","19","10","9","1.000","0","2","0","0.0","0","0","0-0","0","-","0","0","16.2","0.0","0.0","38.1","0.0","0.0","17.2","0.0","1.0","0.0","73.2"
"4","Flowers","Cole","0","0","0",".000",".000",".000",".000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0.00","0.0",".000","0.00","0","0.00","0.00","0.00",".000",".000","0","0","0","0","0",".000","0","0.00","0","0.00","0.0","0","0","0","39.2","12","10","189","705","3","1","0","0","0","-","26","28","15","25","33","7","15","2.647","1.286","33","1","0","3","22","88.00","7",".174","N/A","N/A","N/A","N/A","N/A","N/A","17.8","3.730","42.33","31","20","10","13","4.077","55.60","46.03","73.56","5.75","13.79",".630","24","9","3","1","7.66",".175","1.320","73.28","26.72","1.206","0","22.41","18.10","57.66",".224",".228","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","6","0","4",".667","2","0","0","0.0","0","0","0-0","0","-","0","0","39.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.2"
"5","Corley","Jayce","21","50","41",".146",".265",".412",".146","6","6","0","0","0","5","8","5","6","3","2","0","1","2","2","4","100.0","0","0","19","38.00","10.0",".833","85.37","5","11.11","27.78","44.44",".167",".250","23","3","0","6","178","3.560","10","20.00","9","18.00","-","0","0","1","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","80","40","36",".950","4","5","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","0.0","0.0","0.0","125.1","0.0","0.0","0.0","0.0","125.1"
"6","Bonnici","Wesley","19","37","31",".258",".378",".636",".258","8","8","0","0","0","5","8","5","12","2","1","0","0","0","1","7","100.0","0","1","17","45.95","7.4",".417","61.29","7","31.58","36.84","31.58",".421",".333","21","3","0","8","138","3.730","4","10.81","7","18.92","-","1","0","0","0.0","1","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","-","-","0","0","0","0","0","-","0","-","N/A","N/A","N/A","N/A","N/A","N/A","-","-","-","0","0","0","0","-","-","-","-","-","-","-","0","0","0","0","-","-","-","-","-","-","0","-","-","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","12","5","5",".833","2","2","0","1.0","0","0","0-0","0","-","0","0","0.0","1.0","0.0","29.0","0.0","1.1","0.0","0.0","0.0","0.0","31.1"
"7","Dunham","Josh","16","48","43",".209",".271",".550",".279","9","6","3","0","0","6","5","3","21","5","1","0","1","3","0","2","100.0","0","0","21","43.75","16.0",".143","51.16","9","20.83","25.00","54.17",".391",".190","29","3","3","12","200","4.167","5","10.42","11","22.92","-","1","0","0","14.0","10","0","63","253","0","1","2","2","0","100.0","5","8","6","14","19","8","2","3.000","1.357","23","0","0","0","8","100.0","1",".106","N/A","N/A","N/A","N/A","N/A","N/A","18.1","4.016","31.75","9","4","3","4","3.295","54.15","44.44","82.14","3.57","14.29","1.000","8","4","3","2","12.65",".302","1.357","68.97","31.03","3.000","0","20.69","10.34","65.38",".179",".048","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","10","0","9",".900","1","0","0","0.0","0","0","0-0","0","-","0","0","14.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","56.2","0.0","70.2"
"8","Lang","Nick","15","34","24",".083",".324",".407",".083","2","2","0","0","0","4","1","5","7","3","4","0","1","0","0","0","-","0","0","15","44.12","6.8",".714","70.83","6","27.78","33.33","38.89",".111",".000","14","1","0","2","119","3.500","2","5.88","4","11.76","-","1","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","65","1","63",".985","1","2","0","69.1","3","22","22-25","3","12.00","0","0","0.0","69.1","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","71.1"
